location_name,sex_name,measure_name,age_name,age_midpoint,local_drift,formal_inference_performed,inference_note
China,Female,DALYs,10-14 years,12.0,-0.21382920229218172,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,15-19 years,17.0,-0.20177203676063904,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,20-24 years,22.0,-0.11176202351822484,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,25-29 years,27.0,-0.027708994075181792,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,30-34 years,32.0,0.017252819358115623,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,35-39 years,37.0,0.02512969403778431,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,40-44 years,42.0,0.018400528627515733,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,45-49 years,47.0,0.018434116557419777,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,50-54 years,52.0,0.04606732683345438,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,55-59 years,57.0,0.07715880721788082,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,60-64 years,62.0,0.0927092270298191,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Female,Prevalence,65-69 years,67.0,0.1127501205558934,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,10-14 years,12.0,-0.12555393300649476,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,15-19 years,17.0,-0.09897196197667935,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,20-24 years,22.0,-0.04426989751186161,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,25-29 years,27.0,-0.04610327798666436,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,30-34 years,32.0,-0.0036579667691549744,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,35-39 years,37.0,0.02004170076308487,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,40-44 years,42.0,0.025791997830526547,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,45-49 years,47.0,0.029354923036084557,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,50-54 years,52.0,0.04639515359554647,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,55-59 years,57.0,0.04851953829287936,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,60-64 years,62.0,0.04705677733460867,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,DALYs,65-69 years,67.0,0.0724517192912888,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,10-14 years,12.0,-0.1405229090285176,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,15-19 years,17.0,-0.05559180880104764,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,20-24 years,22.0,-0.03426801176795724,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,25-29 years,27.0,-0.008825449845406563,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,30-34 years,32.0,0.07527209457514061,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,35-39 years,37.0,0.08237972230438206,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,40-44 years,42.0,0.06424736124217567,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,45-49 years,47.0,0.015954290315556285,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,50-54 years,52.0,-0.018302280624704625,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,55-59 years,57.0,-0.04722842454513154,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,60-64 years,62.0,-0.08243901702107426,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Incidence,65-69 years,67.0,-0.07788644135374723,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,10-14 years,12.0,-0.13935558281267246,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,15-19 years,17.0,-0.10507749640787933,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,20-24 years,22.0,-0.04408867696908958,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,25-29 years,27.0,-0.03773902814619978,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,30-34 years,32.0,0.0006478499947837335,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,35-39 years,37.0,0.026403031972854762,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,40-44 years,42.0,0.03521965918218406,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,45-49 years,47.0,0.04082990811435927,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,50-54 years,52.0,0.0510383294213268,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,55-59 years,57.0,0.05482272177981251,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,60-64 years,62.0,0.047383165378156455,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
China,Male,Prevalence,65-69 years,67.0,0.06298041829460033,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,10-14 years,12.0,-0.12749502299740367,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,15-19 years,17.0,-0.38615805861994534,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,20-24 years,22.0,-0.585467274288276,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,25-29 years,27.0,-0.5213812711887478,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,30-34 years,32.0,-0.41345107204221465,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,35-39 years,37.0,-0.33929755334508593,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,40-44 years,42.0,-0.2833348206705444,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,45-49 years,47.0,-0.23573951062919596,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,50-54 years,52.0,-0.21016667106271703,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,55-59 years,57.0,-0.1885624501645755,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,60-64 years,62.0,-0.17648475555508414,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,DALYs,65-69 years,67.0,-0.18737431701710827,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,10-14 years,12.0,-0.12783363186198438,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,15-19 years,17.0,-0.5633122800967616,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,20-24 years,22.0,-0.5619826228962954,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,25-29 years,27.0,-0.27689756695115086,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,30-34 years,32.0,-0.01012107504720916,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,35-39 years,37.0,0.06678676970282016,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,40-44 years,42.0,0.1239689039357561,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,45-49 years,47.0,0.11131069566883145,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,50-54 years,52.0,0.09804313491923455,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,55-59 years,57.0,0.08285592977743672,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,60-64 years,62.0,0.07308292758640977,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Incidence,65-69 years,67.0,0.06816281367367782,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,10-14 years,12.0,-0.12791594260357364,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,15-19 years,17.0,-0.38778322392338804,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,20-24 years,22.0,-0.5592542438269232,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,25-29 years,27.0,-0.5053292761909467,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,30-34 years,32.0,-0.41992579261407315,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,35-39 years,37.0,-0.3471625055091576,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,40-44 years,42.0,-0.2878955010284123,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,45-49 years,47.0,-0.23985387121006063,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,50-54 years,52.0,-0.2012451698416573,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,55-59 years,57.0,-0.1667919532444273,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,60-64 years,62.0,-0.13600145015773002,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Female,Prevalence,65-69 years,67.0,-0.11164337530141788,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,10-14 years,12.0,0.03436527653992716,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,15-19 years,17.0,-0.1891914275839679,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,20-24 years,22.0,-0.3887039152476013,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,25-29 years,27.0,-0.33271250023115817,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,30-34 years,32.0,-0.22589333327049932,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,35-39 years,37.0,-0.14470108567949946,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,40-44 years,42.0,-0.07393433039285524,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,45-49 years,47.0,-0.026940180715417927,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,50-54 years,52.0,-0.0045009082734970285,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,55-59 years,57.0,-0.006456611633998133,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,60-64 years,62.0,-0.01270420094122704,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,DALYs,65-69 years,67.0,-0.03775988526348861,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,10-14 years,12.0,0.03433446590233036,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,15-19 years,17.0,-0.3552005243748768,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,20-24 years,22.0,-0.351660898006223,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,25-29 years,27.0,-0.08559363106078743,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,30-34 years,32.0,0.12337251263883076,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,35-39 years,37.0,0.21580510561847177,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,40-44 years,42.0,0.2719336002996231,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,45-49 years,47.0,0.218865028311388,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,50-54 years,52.0,0.1501861243471625,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,55-59 years,57.0,0.06898800146433182,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,60-64 years,62.0,0.02096077036815025,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Incidence,65-69 years,67.0,0.018835736643363354,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,10-14 years,12.0,0.03377771239736482,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,15-19 years,17.0,-0.17411108690524868,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,20-24 years,22.0,-0.3510325853679497,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,25-29 years,27.0,-0.28952899966429024,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,30-34 years,32.0,-0.20350465245814187,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,35-39 years,37.0,-0.13223157434681942,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,40-44 years,42.0,-0.07126951223144218,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,45-49 years,47.0,-0.025544919666620203,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,50-54 years,52.0,0.003949383301238285,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,55-59 years,57.0,0.017761579894925994,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,60-64 years,62.0,0.01912730118964756,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
United States of America,Male,Prevalence,65-69 years,67.0,0.02001396967563629,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.
