location_name,sex_name,measure_name,segment_index,start_year,end_year,apc,apc_lower_model_ci,apc_upper_model_ci,formal_inference_performed,inference_note
United States of America,Female,DALYs,2,2010,2015,-1.3435994389443207,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,DALYs,3,2015,2023,-0.2125488690981281,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Incidence,1,1990,2010,-0.03612437852293926,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Incidence,2,2010,2015,-1.109026171233618,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Incidence,3,2015,2023,-0.07837788551015024,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Prevalence,1,1990,2010,-0.025816784796939274,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Prevalence,2,2010,2015,-1.2971466691339972,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Female,Prevalence,3,2015,2023,-0.06970081095885039,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,DALYs,1,1990,2009,0.02633003873739881,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,DALYs,2,2009,2017,-0.43286279716271414,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,DALYs,3,2017,2023,-0.10521972262764745,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Incidence,1,1990,2010,0.011915824713271128,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Incidence,2,2010,2017,-0.34219531097773315,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Incidence,3,2017,2023,-0.05583237093801374,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Prevalence,1,1990,2009,0.014689243083343406,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Prevalence,2,2009,2018,-0.3688379957072496,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
United States of America,Male,Prevalence,3,2018,2023,0.086130621418401,,,False,Descriptive analysis of annual GBD posterior means. No hypothesis test or confidence interval is reported because posterior draws and cross-year/cross-stratum correlations are unavailable.
